cust_id,eff_dt,full_nm,full_nm_upper,dob,cntry_resdnc_cd,cntry_ctznshp_cd,cust_typ_cd,occ_cd,pep_self_decl_flg,src_of_wlth_cd,onbrd_chnl_cd,match_flg,best_wl_id,best_sim,match_method,crr_score,crr_band_cd,pep_flag
CUS-0001050,20241231,Samuel Osei,SAMUEL OSEI,19721104,DK,DK,IND,EXEC,Y,BUSPRT,DIGITAL,N,,0,,70,MED,Y
CUS-0001051,20241231,Nils Larsen,NILS LARSEN,19530520,CA,CA,IND,MGMT,N,INVST,INTRO,N,,0,,25,LOW,N
CUS-0001052,20241231,Léa Moreau,LEA MOREAU,19740920,AT,AT,FUND,DEAL,N,BUSPRT,INTRO,N,,0,,80,HIGH,N
CUS-0001053,20241231,Dieter Hoffmeister,DIETER HOFFMEISTER,19590711,NO,NO,IND,HLTH,N,OTHR,BRANCH,N,,0,,30,LOW,N
CUS-0001054,20241231,Lukas Becker,LUKAS BECKER,19610605,AU,AU,CORP,MGMT,N,INVST,DIGITAL,N,,0,,30,LOW,N
CUS-0001055,20241231,Ivan Novikov,IVAN NOVIKOV,20300101,CA,CA,IND,MGMT,N,SAL,BRANCH,N,,0,,15,LOW,N
CUS-0001056,20241231,Sophie Müller,SOPHIE MULLER,19800622,CH,CH,IND,HLTH,N,SAL,INTRO,N,,0,,25,LOW,N
CUS-0001057,20241231,Yuki Tanaka,YUKI TANAKA,19830512,BR,BR,FUND,GAMB,N,OTHR,BRANCH,N,,0,,95,HIGH,N
CUS-0001058,20241231,Bruno Martins,BRUNO MARTINS,19510628,ZA,ZA,IND,ENGG,N,OTHR,DIGITAL,N,,0,,55,MED,N
CUS-0001059,20241231,Nora Andersen,NORA ANDERSEN,19941020,FR,FR,IND,EDUC,N,SAL,DIGITAL,N,,0,,20,LOW,N
CUS-0001060,20241231,Alexei Smirnov,ALEXEI SMIRNOV,18900615,AT,AT,IND,EDUC,N,OTHR,DIGITAL,N,,0,,35,LOW,N
CUS-0001061,20241231,Marcelino Fernández,MARCELINO FERNANDEZ,19811113,SE,SE,IND,DEAL,N,SAL,BRANCH,N,,0,,40,MED,N
CUS-0001062,20241231,Priya Nair,PRIYA NAIR,19710811,PH,PH,IND,MGMT,N,OTHR,INTRO,N,,0,,60,MED,N
CUS-0001063,20241231,Olumide Adewale,OLUMIDE ADEWALE,19480306,TH,TH,FUND,DEAL,N,INHRT,INTRO,N,,0,,90,HIGH,N
CUS-0001064,20241231,Isabel Santos,ISABEL SANTOS,19761015,DE,DE,FUND,MGMT,N,INVST,DIGITAL,N,,0,,40,MED,N
CUS-0001065,20241231,Tobias Müller,TOBIAS MULLER,19881119,NL,NL,TRUST,MGMT,N,INVST,DIGITAL,N,,0,,40,MED,N
CUS-0001066,20241231,Lucas Dubois,LUCAS DUBOIS,19480107,DK,DK,IND,EXEC,N,SAL,DIGITAL,N,,0,,20,LOW,N
CUS-0001067,20241231,Vasiliki Papadaki,VASILIKI PAPADAKI,19761214,NL,NL,IND,RETL,N,INVST,DIGITAL,N,,0,,20,LOW,N
CUS-0001068,20241231,Sabine Lehmann,SABINE LEHMANN,19960603,MX,MX,TRUST,FINC,N,INHRT,INTRO,N,,0,,65,MED,N
CUS-0001069,20241231,Ngozi Okafor,NGOZI OKAFOR,20000619,NO,NO,IND,GAMB,N,SAL,DIGITAL,N,,0,,45,MED,N
CUS-0001070,20241231,James Richardson,JAMES RICHARDSON,19650326,AU,,FUND,GAMB,N,INVST,BRANCH,N,,0,,60,MED,N
CUS-0001071,20241231,Bruno Cavalcanti,BRUNO CAVALCANTI,19600719,CA,,FUND,DEAL,N,SAL,DIGITAL,N,,0,,65,MED,N
CUS-0001072,20241231,Konrad Nowak,KONRAD NOWAK,19940303,FR,FR,CORP,RETL,N,OTHR,DIGITAL,N,,0,,45,MED,N
CUS-0001073,20241231,Elif Demir,ELIF DEMIR,19971127,FR,FR,TRUST,HLTH,N,SAL,DIGITAL,N,,0,,40,MED,N
CUS-0001074,20241231,Fredéric Lecomte,FREDERIC LECOMTE,19931103,BY,BY,IND,RETL,N,SAL,BRANCH,N,,0,,35,LOW,N
CUS-0001075,20241231,María José Rodríguez,MARIA JOSE RODRIGUEZ,19811121,PH,PH,CORP,CASI,N,INHRT,INTRO,N,,0,,80,HIGH,N
CUS-0001076,20241231,Casimir Kowalczyk,CASIMIR KOWALCZYK,19731110,CH,CH,FUND,DEAL,N,SAL,DIGITAL,N,,0,,65,MED,N
CUS-0001077,20241231,Aisha Mohammed,AISHA MOHAMMED,19730102,BE,BE,IND,DEAL,N,INHRT,BRANCH,N,,0,,40,MED,N
CUS-0001078,20241231,Tunde Adebayo,TUNDE ADEBAYO,19741018,SE,SE,IND,MGMT,N,INHRT,INTRO,N,,0,,25,LOW,N
CUS-0001079,20241231,Sigrid Olsen,SIGRID OLSEN,19750905,NO,NO,IND,CASI,N,INHRT,BRANCH,N,,0,,40,MED,N
CUS-0001080,20241231,Emeka Onwueme,EMEKA ONWUEME,19560108,CA,CA,PART,DEAL,N,OTHR,BRANCH,N,,0,,55,MED,N
CUS-0001081,20241231,Hannah Schmidt,HANNAH SCHMIDT,19630714,CA,CA,TRUST,HLTH,N,INHRT,BRANCH,N,,0,,35,LOW,N
CUS-0001082,20241231,Sean Gallagher,SEAN GALLAGHER,19510922,DK,DK,TRUST,EXEC,N,OTHR,DIGITAL,N,,0,,55,MED,N
CUS-0001083,20241231,Sarah Thompson,SARAH THOMPSON,19870312,SE,SE,FUND,EDUC,N,SAL,DIGITAL,N,,0,,40,MED,N
CUS-0001084,20241231,Maximilian Schneider,MAXIMILIAN SCHNEIDER,19500518,DK,DK,FUND,GAMB,N,SAL,INTRO,N,,0,,70,MED,N
CUS-0001085,20241231,Hiroshi Nakamura ​’,HIROSHI NAKAMURA,19460610,CH,CH,IND,HLTH,N,SAL,DIGITAL,N,,0,,20,LOW,N
CUS-0001086,20241231,Ekanem Effiong,EKANEM EFFIONG,19540210,VN,VN,IND,CASI,N,SAL,BRANCH,N,,0,,60,MED,N
CUS-0001087,20241231,Ole-Christian Hagen,OLE-CHRISTIAN HAGEN,19661005,FR,FR,TRUST,HLTH,N,OTHR,INTRO,N,,0,,60,MED,N
CUS-0001088,20241231,Andrei Popescu,ANDREI POPESCU,19551215,GB,GB,IND,ENGG,N,OTHR,INTRO,N,,0,,40,MED,N
CUS-0001089,20241231,Maria Garcia,MARIA GARCIA,19920808,YE,YE,FUND,FINC,N,BUSPRT,INTRO,N,,0,,95,HIGH,N
CUS-0001090,20241231,Patrick Murphy,PATRICK MURPHY,19740525,SE,SE,CORP,FINC,N,INVST,INTRO,N,,0,,35,LOW,N
CUS-0001091,20241231,Julia Fischer,JULIA FISCHER,19610121,AT,AT,CORP,ENGG,N,SAL,INTRO,N,,0,,35,LOW,N
CUS-0001092,20241231,François Leroy,FRANCOIS LEROY,19630225,CH,CH,TRUST,MGMT,N,OTHR,INTRO,N,,0,,60,MED,N
CUS-0001093,20241231,Layla Al-Farsi,LAYLA AL-FARSI,19590812,TR,TR,TRUST,ENGG,N,BUSPRT,BRANCH,N,,0,,65,MED,N
CUS-0001094,20241231,Oscar Lindqvist,OSCAR LINDQVIST,19500608,AU,AU,IND,GAMB,N,INHRT,DIGITAL,N,,0,,45,MED,N
CUS-0001095,20241231,Anya Sharma,ANYA SHARMA,19980823,IR,IR,FUND,DEAL,N,SAL,BRANCH,N,,0,,100,HIGH,N
CUS-0001096,20241231,Mikael Lindqvist,MIKAEL LINDQVIST,19460507,NO,NO,CORP,CASI,N,INHRT,BRANCH,N,,0,,50,MED,N
CUS-0001097,20241231,Bogumił Kowalski,BOGUMI KOWALSKI,19630410,AT,AT,FUND,EDUC,N,INHRT,DIGITAL,N,,0,,40,MED,N
CUS-0001098,20241231,Jean-Marc Perrin,JEAN-MARC PERRIN,19761018,VN,VN,CORP,EDUC,N,BUSPRT,BRANCH,N,,0,,55,MED,N
CUS-0001099,20241231,Catalina Ionescu,CATALINA IONESCU,19451012,MM,MM,TRUST,FINC,N,OTHR,BRANCH,N,,0,,90,HIGH,N
CUS-0001100,20241231,Ravi Krishnamurthy,RAVI KRISHNAMURTHY,19780917,AU,AU,IND,MGMT,N,INHRT,DIGITAL,N,,0,,20,LOW,N
CUS-0001101,20241231,Akosua Boateng,AKOSUA BOATENG,19690609,AT,AT,TRUST,EXEC,N,BUSPRT,DIGITAL,N,,0,,50,MED,N
CUS-0001102,20241231,Sven Eriksson,SVEN ERIKSSON,19920605,CH,CH,IND,DEAL,N,SAL,BRANCH,N,,0,,40,MED,N
CUS-0001103,20241231,Nkechi Eze,NKECHI EZE,19751106,MM,MM,IND,ENGG,N,OTHR,DIGITAL,N,,0,,75,MED,N
CUS-0001104,20241231,Petra Novotná,PETRA NOVOTNA,19950402,FR,FR,FUND,CASI,N,SAL,DIGITAL,N,,0,,65,MED,N
CUS-0001105,20241231,Ifeoma Eze,IFEOMA EZE,19931107,SE,SE,TRUST,GAMB,N,INHRT,DIGITAL,N,,0,,65,MED,N
CUS-0001106,20241231,Rodrigo Almeida,RODRIGO ALMEIDA,19720724,DE,DE,FUND,DEAL,N,INVST,BRANCH,N,,0,,60,MED,N
CUS-0001107,20241231,Linnea Gustafsson,LINNEA GUSTAFSSON,19960909,AU,AU,IND,ENGG,N,BUSPRT,DIGITAL,N,,0,,30,LOW,N
CUS-0001108,20241231,Fatimata Coulibaly,FATIMATA COULIBALY,19560910,NO,NO,CORP,MGMT,N,BUSPRT,INTRO,N,,0,,45,MED,N
CUS-0001109,20241231,Mikko Nieminen,MIKKO NIEMINEN,19720323,FR,FR,IND,RETL,N,INVST,DIGITAL,N,,0,,20,LOW,N
CUS-0001110,20241231,Elena Ivanova,ELENA IVANOVA,19950103,CA,CA,IND,DEAL,N,INHRT,DIGITAL,N,,0,,45,MED,N
CUS-0001111,20241231,Akinola Bamidele,AKINOLA BAMIDELE,19541022,AU,AU,IND,HLTH,N,OTHR,BRANCH,N,,0,,30,LOW,N
CUS-0001112,20241231,Ingrid Hansen,INGRID HANSEN,19810120,DE,DE,IND,MGMT,N,SAL,DIGITAL,N,,0,,20,LOW,N
CUS-0001113,20241231,Ahmed Hassan,AHMED HASSAN,19780613,TR,TR,IND,DEAL,N,BUSPRT,BRANCH,N,,0,,70,MED,N
CUS-0001114,20241231,Mei-Ling Chen,MEI-LING CHEN,19690904,SE,SE,IND,MGMT,N,SAL,BRANCH,N,,0,,15,LOW,N
CUS-0001115,20241231,David Cohen,DAVID COHEN,19760404,SE,SE,FUND,CASI,N,SAL,INTRO,N,,0,,70,MED,N
CUS-0001116,20241231,Festus Okafor,FESTUS OKAFOR,19961128,BY,BY,CORP,ENGG,N,OTHR,DIGITAL,N,,0,,65,MED,N
CUS-0001117,20241231,Astrid Andersen,ASTRID ANDERSEN,19640323,DK,DK,IND,MGMT,N,INHRT,INTRO,N,,0,,25,LOW,N
CUS-0001118,20241231,Youssef Benali,YOUSSEF BENALI,19570308,NO,NO,FUND,ENGG,N,INVST,INTRO,N,,0,,45,MED,N
CUS-0001119,20241231,Klaus Bergmann,KLAUS BERGMANN,19800320,DE,DE,IND,HLTH,N,INHRT,DIGITAL,N,,0,,20,LOW,N
CUS-0001120,20241231,Wilhelm Koch,WILHELM KOCH,19940727,FR,FR,IND,GAMB,N,OTHR,DIGITAL,N,,0,,60,MED,N
CUS-0001121,20241231,Søren Madsen,SREN MADSEN,19670327,GB,GB,IND,MGMT,N,BUSPRT,DIGITAL,N,,0,,30,LOW,N
CUS-0001122,20241231,Giulia Lombardi,GIULIA LOMBARDI,20000127,DK,DK,TRUST,ENGG,N,SAL,DIGITAL,N,,0,,40,MED,N
CUS-0001123,20241231,Adaeze Nwosu,ADAEZE NWOSU,19590617,CN,CN,IND,ENGG,N,SAL,DIGITAL,N,,0,,40,MED,N
CUS-0001124,20241231,Marie Gustavsson,MARIE GUSTAVSSON,19850520,FR,FR,IND,FINC,N,OTHR,INTRO,N,,0,,40,MED,N
CUS-0001125,20241231,Agnieszka Woźniak,AGNIESZKA WOZNIAK,19871024,AT,AT,FUND,ENGG,N,INHRT,INTRO,N,,0,,45,MED,N
CUS-0001126,20241231,Bjorn Magnusson,BJORN MAGNUSSON,19861009,CH,CH,TRUST,EXEC,N,SAL,BRANCH,N,,0,,35,LOW,N
CUS-0001127,20241231,Ruth Eichmann,RUTH EICHMANN,19850910,BE,BE,CORP,EDUC,N,OTHR,BRANCH,N,,0,,40,MED,N
CUS-0001128,20241231,Babatunde Okonkwo,BABATUNDE OKONKWO,19491202,SE,SE,CORP,FINC,N,OTHR,DIGITAL,N,,0,,45,MED,N
CUS-0001129,20241231,Aminata Traoré,AMINATA TRAORE,19651211,MX,MX,CORP,CASI,N,SAL,DIGITAL,N,,0,,75,MED,N
CUS-0001130,20241231,Kwame Mensah,KWAME MENSAH,19650415,CH,CH,CORP,ENGG,N,INVST,INTRO,N,,0,,35,LOW,N
CUS-0001131,20241231,Valentina Rossi,VALENTINA ROSSI,19691014,TR,TR,IND,ENGG,N,SAL,BRANCH,N,,0,,35,LOW,N
CUS-0001132,20241231,Charlotte Webb,CHARLOTTE WEBB,19550817,GB,GB,IND,EDUC,N,OTHR,DIGITAL,N,,0,,35,LOW,N
CUS-0001133,20241231,Amelia Patel,AMELIA PATEL,19600419,SE,SE,CORP,EXEC,N,SAL,DIGITAL,N,,0,,30,LOW,N
CUS-0001134,20241231,Ada Osei-Bonsu,ADA OSEI-BONSU,19450214,DE,DE,IND,CASI,N,INHRT,DIGITAL,N,,0,,45,MED,N
CUS-0001135,20241231,Alba Ortega,ALBA ORTEGA,19481018,TH,TH,FUND,DEAL,N,BUSPRT,DIGITAL,N,,0,,95,HIGH,N
CUS-0001136,20241231,Benedikt Schwarz,BENEDIKT SCHWARZ,19800527,ZA,ZA,IND,MGMT,N,BUSPRT,INTRO,N,,0,,55,MED,N
CUS-0001137,20241231,Marco Russo,MARCO RUSSO,19950618,DK,DK,TRUST,MGMT,N,SAL,BRANCH,N,,0,,35,LOW,N
CUS-0001138,20241231,Saoirse Murphy,SAOIRSE MURPHY,19470105,GB,GB,IND,EDUC,N,INHRT,DIGITAL,N,,0,,20,LOW,N
CUS-0001139,20241231,Miriam Khoury,MIRIAM KHOURY,19530620,CA,CA,TRUST,CASI,N,SAL,INTRO,N,,0,,70,MED,N
CUS-0001140,20241231,Theodoros Alexiou,THEODOROS ALEXIOU,19770916,AU,AU,TRUST,RETL,N,INHRT,DIGITAL,N,,0,,40,MED,N
CUS-0001141,20241231,Diana Popova,DIANA POPOVA,19711010,SE,SE,CORP,EXEC,N,INVST,DIGITAL,N,,0,,30,LOW,N
CUS-0001142,20241231,Damian Kozlowski,DAMIAN KOZLOWSKI,19861019,NO,NO,FUND,EXEC,N,INHRT,DIGITAL,N,,0,,40,MED,N
CUS-0001143,20241231,Abdul Rahman Al-Qasim,ABDUL RAHMAN AL-QASIM,19840705,DE,DE,TRUST,CASI,N,SAL,INTRO,N,,0,,70,MED,N
CUS-0001144,20241231,Carlos Mendez,CARLOS MENDEZ,19730614,NL,NL,IND,EDUC,N,OTHR,BRANCH,N,,0,,30,LOW,N
CUS-0001145,20241231,Ximena Vargas,XIMENA VARGAS,19921202,VN,VN,CORP,HLTH,N,INHRT,DIGITAL,N,,0,,50,MED,N
CUS-0001146,20241231,Tobi Femi,TOBI FEMI,19650315,AT,AT,IND,HLTH,N,INVST,DIGITAL,N,,0,,20,LOW,N
CUS-0001147,20241231,Pedro Ferreira,PEDRO FERREIRA,19570409,CH,CH,TRUST,DEAL,N,OTHR,DIGITAL,N,,0,,80,HIGH,N
CUS-0001148,20241231,Imane Berrada,IMANE BERRADA,19760616,NL,NL,IND,RETL,N,OTHR,BRANCH,N,,0,,30,LOW,N
CUS-0001149,20241231,Chinyere Nwachukwu,CHINYERE NWACHUKWU,19690727,NO,NO,IND,RETL,N,SAL,INTRO,N,,0,,25,LOW,N
CUS-0001150,20241231,Nikolaj Christensen,NIKOLAJ CHRISTENSEN,19731109,GB,GB,IND,EXEC,N,INVST,BRANCH,N,,0,,15,LOW,N
CUS-0001151,20241231,Claire Fontaine,CLAIRE FONTAINE,19530220,NL,NL,IND,HLTH,N,INVST,INTRO,N,,0,,25,LOW,N
CUS-0001152,20241231,Zanele Dlamini,ZANELE DLAMINI,19590104,NL,NL,IND,EXEC,N,OTHR,INTRO,N,,0,,40,MED,N
CUS-0001153,20241231,Silvia Torres,SILVIA TORRES,19800314,NO,NO,CORP,MGMT,Y,OTHR,BRANCH,N,,0,,80,HIGH,Y
CUS-0001154,20241231,Dominique Bernard,DOMINIQUE BERNARD,19480221,CA,CA,CORP,FINC,N,INVST,DIGITAL,N,,0,,30,LOW,N
CUS-0001155,20241231,Renata Szabó,RENATA SZABO,19560127,AT,AT,FUND,EXEC,N,SAL,DIGITAL,N,,0,,40,MED,N
CUS-0001156,20241231,Ingeborg Svensson,INGEBORG SVENSSON,19830211,CA,CA,IND,RETL,N,SAL,BRANCH,N,,0,,15,LOW,N
CUS-0001157,20241231,Chidinma Okonkwo,CHIDINMA OKONKWO,19740507,DK,DK,TRUST,HLTH,N,BUSPRT,BRANCH,N,,0,,45,MED,N
CUS-0001158,20241231,Simone Pellegrini,SIMONE PELLEGRINI,19451211,CH,CH,IND,CASI,N,OTHR,DIGITAL,N,,0,,60,MED,N
CUS-0001159,20241231,Florian Braun,FLORIAN BRAUN,19700717,BE,BE,FUND,FINC,N,SAL,INTRO,N,,0,,45,MED,N
CUS-0001160,20241231,Sofía Herrera,SOFIA HERRERA,19600109,AU,AU,FUND,MGMT,N,SAL,BRANCH,N,,0,,35,LOW,N
CUS-0001161,20241231,Amara Diop,AMARA DIOP,19450521,CA,CA,IND,DEAL,N,INVST,INTRO,N,,0,,50,MED,N
CUS-0001162,20241231,Hanne Nielsen,HANNE NIELSEN,19880923,NL,NL,IND,MGMT,N,BUSPRT,DIGITAL,N,,0,,30,LOW,N
CUS-0001163,20241231,Rosa Ferreira,ROSA FERREIRA,19530805,NO,NO,IND,RETL,N,INVST,INTRO,N,,0,,25,LOW,N
CUS-0001164,20241231,Tuulikki Virtanen,TUULIKKI VIRTANEN,19930926,BE,BE,IND,GAMB,N,OTHR,INTRO,N,,0,,65,MED,N
CUS-0001165,20241231,Lena Fischer,LENA FISCHER,19900603,NL,NL,IND,EDUC,N,SAL,INTRO,N,,0,,25,LOW,N
CUS-0001166,20241231,Emre Yıldız,EMRE YLDZ,19540311,FR,FR,IND,HLTH,N,INHRT,BRANCH,N,,0,,15,LOW,N
CUS-0001167,20241231,Oyin Akerele,OYIN AKERELE,19770826,CA,CA,IND,FINC,N,OTHR,INTRO,N,,0,,40,MED,N
CUS-0001168,20241231,Chiamaka Obi,CHIAMAKA OBI,19741126,CN,CN,TRUST,GAMB,N,BUSPRT,INTRO,N,,0,,100,HIGH,N
CUS-0001169,20241231,Björn Lindberg,BJORN LINDBERG,19470712,DE,DE,CORP,RETL,N,SAL,BRANCH,N,,0,,25,LOW,N
CUS-0001170,20241231,Anna Kowalski,ANNA KOWALSKI,19560325,AT,AT,IND,MGMT,N,BUSPRT,BRANCH,N,,0,,25,LOW,N
CUS-0001171,20241231,Fiona MacLeod,FIONA MACLEOD,19690703,NO,NO,FUND,GAMB,N,INVST,DIGITAL,N,,0,,65,MED,N
CUS-0001172,20241231,Stefan Weber,STEFAN WEBER,19790717,DK,DK,TRUST,ENGG,N,OTHR,DIGITAL,N,,0,,55,MED,N
CUS-0001173,20241231,Uchenna Nwosu,UCHENNA NWOSU,19790718,VN,VN,IND,EXEC,N,INVST,DIGITAL,N,,0,,40,MED,N
CUS-0001174,20241231,Vigdis Larssen,VIGDIS LARSSEN,19910202,NL,NL,IND,CASI,N,INVST,BRANCH,N,,0,,40,MED,N
CUS-0001175,20241231,Vera Sorokin,VERA SOROKIN,19830115,AU,AU,TRUST,EXEC,N,SAL,BRANCH,N,,0,,35,LOW,N
CUS-0001176,20241231,Matthias Zimmermann,MATTHIAS ZIMMERMANN,19590907,NO,NO,IND,FINC,N,OTHR,BRANCH,N,,0,,30,LOW,N
CUS-0001177,20241231,Seun Adesanya,SEUN ADESANYA,19911011,DE,DE,IND,HLTH,N,INVST,BRANCH,N,,0,,15,LOW,N
CUS-0001178,20241231,Olusegun Babalola,OLUSEGUN BABALOLA,19780414,DK,DK,IND,FINC,N,INVST,BRANCH,N,,0,,15,LOW,N
CUS-0001179,20241231,Antoine Dubois,ANTOINE DUBOIS,19720916,DE,DE,TRUST,EDUC,N,OTHR,BRANCH,N,,0,,50,MED,N
CUS-0001180,20241231,Riku Mäkinen,RIKU MAKINEN,19710310,YE,YE,FUND,GAMB,N,INHRT,DIGITAL,N,,0,,105,HIGH,N
CUS-0001181,20241231,Kenji Watanabe,KENJI WATANABE,19540802,AT,AT,CORP,FINC,N,SAL,DIGITAL,N,,0,,30,LOW,N
CUS-0001182,20241231,Nadia Hoffmann,NADIA HOFFMANN,19580621,AU,AU,TRUST,HLTH,N,SAL,DIGITAL,N,,0,,40,MED,N
CUS-0001183,20241231,Monique Laurent,MONIQUE LAURENT,19691120,TR,TR,IND,MGMT,N,INHRT,BRANCH,N,,0,,35,LOW,N
CUS-0001184,20241231,Emma Johansson,EMMA JOHANSSON,19580610,FR,FR,IND,EDUC,N,OTHR,INTRO,N,,0,,40,MED,N
CUS-0001185,20241231,Paula Herrera,PAULA HERRERA,19930808,DE,DE,IND,FINC,N,OTHR,BRANCH,N,,0,,30,LOW,N
CUS-0001186,20241231,Konstantinos Papadopoulos,KONSTANTINOS PAPADOPOULOS,19630715,NO,NO,IND,GAMB,N,SAL,INTRO,N,,0,,50,MED,N
CUS-0001187,20241231,Katarzyna Wiśniewska,KATARZYNA WISNIEWSKA,19740226,CH,CH,IND,RETL,N,INVST,INTRO,N,,0,,25,LOW,N
CUS-0001188,20241231,Blessing Osei,BLESSING OSEI,19810424,CA,CA,IND,FINC,N,INVST,DIGITAL,N,,0,,20,LOW,N
CUS-0001189,20241231,Henrique Sousa,HENRIQUE SOUSA,19570608,TH,TH,TRUST,EDUC,N,INHRT,DIGITAL,N,,0,,60,MED,N
CUS-0001190,20241231,Abigail Kessler,ABIGAIL KESSLER,19970824,NL,NL,CORP,HLTH,N,OTHR,DIGITAL,N,,0,,45,MED,N
CUS-0001191,20241231,Lars Andersen,LARS ANDERSEN,19910916,CA,CA,CORP,ENGG,N,OTHR,DIGITAL,N,,0,,45,MED,N
CUS-0001192,20241231,Ester Johansson,ESTER JOHANSSON,19491102,ZA,ZA,FUND,EXEC,N,INHRT,BRANCH,N,,0,,55,MED,N
CUS-0001193,20241231,Michael Zhang,MICHAEL ZHANG,19770812,AU,AU,IND,FINC,Y,SAL,BRANCH,N,,0,,55,MED,Y
