wl_id,wl_nm,wl_typ_cd,wl_cntry_cd,list_src_cd,list_dt,wl_dob
WL-GEN-012,JANUSZ WOŹNIAK,PEP,IR,INTERNAL,20240101,
WL-GEN-013,KATHARINA ERNST,ADVMEDIA,TH,OFAC,20240101,
WL-GEN-014,LOTTE VAN DER BERG,ADVMEDIA,CA,UN,20240101,
WL-GEN-015,MARCO BIANCHI,SANCTION,IN,UN,20240101,
WL-GEN-016,NADIA PETROVA,SANCTION,SY,INTERNAL,20240101,
WL-GEN-017,OLAF CHRISTIANSEN,ADVMEDIA,DE,UN,20240101,
WL-GEN-018,PITA HAVILI,ADVMEDIA,NO,OFAC,20240101,
WL-GEN-019,QUIRINO FERREIRA,ADVMEDIA,TR,EU,20240101,
WL-GEN-020,RASHIDA KAMARA,PEP,BE,EU,20240101,
WL-GEN-021,STEFAN BRAUN,ADVMEDIA,DE,UN,20240101,
WL-GEN-022,TOMAS NOVAK,SANCTION,MM,OFAC,20240101,
WL-GEN-023,ULF LINDGREN,PEP,AF,EU,20240101,
WL-GEN-024,VERA SMIRNOVA,SANCTION,NL,OFAC,20240101,
WL-GEN-025,WOLFGANG GRUBER,ADVMEDIA,CH,INTERNAL,20240101,
WL-GEN-026,XIAOMING LI,ADVMEDIA,SE,EU,20240101,
WL-GEN-027,YOLANDA TORRES,ADVMEDIA,AT,INTERNAL,20240101,
WL-GEN-028,ZLATKO HORVAT,PEP,DK,INTERNAL,20240101,
WL-GEN-029,AMARA KONE,ADVMEDIA,BY,EU,20240101,
WL-GEN-030,BEATRIZ CASTRO,PEP,TR,UN,20240101,
WL-GEN-031,CEMAL YILDIRIM,ADVMEDIA,YE,INTERNAL,20240101,
WL-GEN-032,DOROTA KOWALCZYK,SANCTION,CA,EU,20240101,
WL-GEN-033,ENRIQUE MORALES,PEP,SE,OFAC,20240101,
WL-GEN-034,FLORENCE ROUX,ADVMEDIA,CN,EU,20240101,
WL-GEN-035,GUNNAR HAAKONSEN,SANCTION,DE,OFAC,20240101,
WL-GEN-036,HANNELORE BRUNNER,SANCTION,CN,OFAC,20240101,
WL-GEN-037,ISIDORO RICCI,SANCTION,IN,EU,20240101,
WL-GEN-038,JARI HEIKKINEN,ADVMEDIA,BR,INTERNAL,20240101,
WL-GEN-039,KAROLINA WIŚNIEWSKA,ADVMEDIA,BY,EU,20240101,
WL-GEN-040,LEIF ERIKSEN,SANCTION,PK,INTERNAL,20240101,
WL-GEN-041,MARTA KOWALSKA,SANCTION,KP,OFAC,20240101,
WL-GEN-042,NIKLAS BERG,ADVMEDIA,AU,INTERNAL,20240101,
WL-GEN-043,OPHELIA CRANE,PEP,PH,INTERNAL,20240101,
WL-GEN-044,PATRYK DĄBROWSKI,ADVMEDIA,NG,OFAC,20240101,
WL-GEN-045,QUIRINE SMITS,SANCTION,AU,INTERNAL,20240101,
WL-GEN-046,RAGNHILD ANDERSEN,SANCTION,IN,EU,20240101,
WL-GEN-047,SIMON TREMBLAY,SANCTION,RU,INTERNAL,20240101,
WL-GEN-048,THORSTEN KELLER,PEP,AT,EU,20240101,
WL-GEN-049,UMBERTO GALLO,PEP,BR,EU,20240101,
WL-GEN-050,VERONIKA MÜLLER,PEP,SE,OFAC,20240101,
WL-GEN-051,WALDEMAR NOWAK,ADVMEDIA,NL,OFAC,20240101,
WL-GEN-052,XIULAN CHEN,SANCTION,CH,EU,20240101,
WL-GEN-053,YVONNE GIRARD,PEP,KP,INTERNAL,20240101,
WL-GEN-054,ZUZANNA PAWLAK,PEP,BY,OFAC,20240101,
WL-GEN-055,ALEKSEI GORBACHEV,PEP,DK,OFAC,20240101,
WL-GEN-056,BARBARA KOWALSKA,PEP,IR,INTERNAL,20240101,
WL-GEN-057,CRISTIANO FERREIRA,PEP,MX,INTERNAL,20240101,
WL-GEN-058,DENISE DUPONT,SANCTION,BE,UN,20240101,
WL-GEN-059,ERIKA LINDQVIST,SANCTION,BY,OFAC,20240101,
WL-GEN-060,FILIPPO MORETTI,SANCTION,ZA,OFAC,20240101,
WL-GEN-061,GRZEGORZ ADAMSKI,ADVMEDIA,PK,EU,20240101,
WL-GEN-062,HELENA NOVAK,ADVMEDIA,NL,OFAC,20240101,
WL-GEN-063,IVAN PETROV,SANCTION,NO,OFAC,20240101,
WL-GEN-064,JÓZEF KOWALSKI,PEP,VN,OFAC,20240101,
WL-GEN-065,KATERINA NOVAKOVA,ADVMEDIA,VN,OFAC,20240101,
WL-GEN-066,LUDOVICO RUSSO,PEP,CH,UN,20240101,
WL-GEN-067,MAGDALENA WOŹNIAK,SANCTION,TH,UN,20240101,
WL-GEN-068,NORBERT HARTMANN,PEP,VN,INTERNAL,20240101,
WL-GEN-069,OCTAVIA SMITH,ADVMEDIA,AT,UN,20240101,
WL-GEN-070,PASCAL FONTAINE,PEP,NG,OFAC,20240101,
WL-GEN-071,RAPHAËLLE MARTIN,PEP,DE,OFAC,20240101,
WL-GEN-072,SIGBJØRN BREKKE,ADVMEDIA,SE,EU,20240101,
WL-GEN-073,TEODOR POPA,SANCTION,TH,UN,20240101,
WL-GEN-074,URSULA HOFMANN,SANCTION,SE,UN,20240101,
WL-GEN-075,VINCENT MOREL,SANCTION,MX,INTERNAL,20240101,
WL-GEN-076,WANDA SZCZEPAŃSKA,ADVMEDIA,TR,OFAC,20240101,
WL-GEN-077,XANDER DE VRIES,ADVMEDIA,TR,OFAC,20240101,
WL-GEN-078,YASEMIN DOĞAN,PEP,AT,OFAC,20240101,
WL-GEN-079,ZBIGNIEW KOWALCZYK,ADVMEDIA,AU,EU,20240101,
WL-GEN-080,ANTTI VIRTANEN,PEP,BR,EU,20240101,
WL-GEN-081,BLANCA RUIZ,SANCTION,IN,UN,20240101,
WL-GEN-082,CÉDRIC LEFEBVRE,PEP,MM,OFAC,20240101,
WL-GEN-083,DRAGANA MARKOVIĆ,ADVMEDIA,CH,INTERNAL,20240101,
WL-GEN-084,ELODIE SIMON,SANCTION,BR,OFAC,20240101,
WL-GEN-085,FRANK OLSEN,SANCTION,IN,UN,20240101,
WL-GEN-086,GENEVIÈVE TREMBLAY,ADVMEDIA,DK,INTERNAL,20240101,
WL-GEN-087,HANS SCHULZ,ADVMEDIA,SY,OFAC,20240101,
WL-GEN-088,IRINA POPOVA,SANCTION,CA,EU,20240101,
WL-GEN-089,JAN NOVÁK,PEP,GB,EU,20240101,
WL-GEN-090,KIRSTEN PEDERSEN,SANCTION,SY,OFAC,20240101,
