cust_id,eff_dt,full_nm,dob,cntry_resdnc_cd,cntry_ctznshp_cd,cust_typ_cd,occ_cd,pep_self_decl_flg,src_of_wlth_cd,onbrd_chnl_cd,load_dttm
CUS-0001029,20241231,Henrique Sousa,19690804,AU,AU,FUND,RETL,N,BUSPRT,DIGITAL,31DEC2024:21:03:23
CUS-0001030,20241231,Abigail Kessler,19981113,BE,BE,IND,EDUC,N,INVST,DIGITAL,31DEC2024:21:03:30
CUS-0001031,20241231,Lars Andersen,19630420,BE,BE,FUND,EXEC,N,INHRT,DIGITAL,31DEC2024:21:03:37
CUS-0001032,20241231,Ester Johansson,19911122,NL,NL,FUND,FINC,N,INHRT,DIGITAL,31DEC2024:21:03:44
CUS-0001033,20241231,Michael Zhang,19681205,DK,DK,IND,EXEC,N,INVST,DIGITAL,31DEC2024:21:03:51
CUS-0001034,20241231,Wojciech Zielinski,19790617,TH,TH,IND,GAMB,N,SAL,BRANCH,31DEC2024:21:03:58
CUS-0001035,20241231,Patricia O'Connor,19660215,SE,SE,IND,RETL,N,BUSPRT,DIGITAL,31DEC2024:21:04:05
CUS-0001036,20241231,Henrik Bergström,19700109,GB,GB,IND,GAMB,N,INHRT,DIGITAL,31DEC2024:21:04:12
CUS-0001037,20241231,Robert Wilson,19680222,CA,CA,IND,RETL,N,INHRT,DIGITAL,31DEC2024:21:04:19
CUS-0001038,20241231,Petros Georgiou,19491127,DE,DE,TRUST,HLTH,N,INVST,INTRO,31DEC2024:21:04:26
CUS-0001039,20241231,Tom O'Brien,19470516,NO,NO,IND,GAMB,N,SAL,BRANCH,31DEC2024:21:04:33
CUS-0001040,20241231,Chiara Bianchi,19921218,VN,VN,TRUST,ENGG,N,BUSPRT,DIGITAL,31DEC2024:21:04:40
CUS-0001041,20241231,Brigitte Hoffmann,19840709,NO,NO,FUND,ENGG,N,BUSPRT,BRANCH,31DEC2024:21:04:47
CUS-0001042,20241231,Min-Jun Lee,19511112,YE,YE,IND,CASI,N,BUSPRT,BRANCH,31DEC2024:21:04:54
CUS-0001043,20241231,Peter Novak,19520803,DK,DK,IND,EXEC,N,BUSPRT,DIGITAL,31DEC2024:21:05:01
CUS-0001044,20241231,Fatou Diallo,19600326,DK,DK,FUND,EDUC,N,SAL,BRANCH,31DEC2024:21:05:08
CUS-0001045,20241231,Esther Owusu,19590625,FR,FR,TRUST,FINC,N,INHRT,BRANCH,31DEC2024:21:05:15
CUS-0001046,20241231,Stavros Karagiannidis,19960304,IN,IN,IND,RETL,N,SAL,BRANCH,31DEC2024:21:05:22
CUS-0001047,20241231,Haruto Yamamoto,19460309,DE,DE,IND,EXEC,N,INVST,BRANCH,31DEC2024:21:05:29
CUS-0001048,20241231,Thomas Carey,19940617,MX,MX,TRUST,MGMT,N,OTHR,BRANCH,31DEC2024:21:05:36
CUS-0001049,20241231,Kofi Asante,20001117,CA,CA,TRUST,FINC,N,INHRT,BRANCH,31DEC2024:21:05:43
CUS-0001050,20241231,Samuel Osei,19721104,DK,DK,IND,EXEC,Y,BUSPRT,DIGITAL,31DEC2024:21:05:50
CUS-0001051,20241231,Nils Larsen,19530520,CA,CA,IND,MGMT,N,INVST,INTRO,31DEC2024:21:05:57
CUS-0001052,20241231,Léa Moreau,19740920,AT,AT,FUND,DEAL,N,BUSPRT,INTRO,31DEC2024:21:06:04
CUS-0001053,20241231,Dieter Hoffmeister,19590711,NO,NO,IND,HLTH,N,OTHR,BRANCH,31DEC2024:21:06:11
CUS-0001054,20241231,Lukas Becker,19610605,AU,AU,CORP,MGMT,N,INVST,DIGITAL,31DEC2024:21:06:18
CUS-0001055,20241231,Ivan Novikov,20300101,CA,CA,IND,MGMT,N,SAL,BRANCH,31DEC2024:21:06:25
CUS-0001056,20241231,Sophie Müller,19800622,CH,CH,IND,HLTH,N,SAL,INTRO,31DEC2024:21:06:32
CUS-0001057,20241231,Yuki Tanaka,19830512,BR,BR,FUND,GAMB,N,OTHR,BRANCH,31DEC2024:21:06:39
CUS-0001058,20241231,Bruno Martins,19510628,ZA,ZA,IND,ENGG,N,OTHR,DIGITAL,31DEC2024:21:06:46
CUS-0001059,20241231,Nora Andersen,19941020,FR,FR,IND,EDUC,N,SAL,DIGITAL,31DEC2024:21:06:53
CUS-0001060,20241231,Alexei Smirnov,18900615,AT,AT,IND,EDUC,N,OTHR,DIGITAL,31DEC2024:21:07:00
CUS-0001061,20241231,Marcelino Fernández,19811113,SE,SE,IND,DEAL,N,SAL,BRANCH,31DEC2024:21:07:07
CUS-0001062,20241231,Priya Nair,19710811,PH,PH,IND,MGMT,N,OTHR,INTRO,31DEC2024:21:07:14
CUS-0001063,20241231,Olumide Adewale,19480306,TH,TH,FUND,DEAL,N,INHRT,INTRO,31DEC2024:21:07:21
CUS-0001064,20241231,Isabel Santos,19761015,DE,DE,FUND,MGMT,N,INVST,DIGITAL,31DEC2024:21:07:28
CUS-0001065,20241231,Tobias Müller,19881119,NL,NL,TRUST,MGMT,N,INVST,DIGITAL,31DEC2024:21:07:35
CUS-0001066,20241231,Lucas Dubois,19480107,DK,DK,IND,EXEC,N,SAL,DIGITAL,31DEC2024:21:07:42
CUS-0001067,20241231,Vasiliki Papadaki,19761214,NL,NL,IND,RETL,N,INVST,DIGITAL,31DEC2024:21:07:49
CUS-0001068,20241231,Sabine Lehmann,19960603,MX,MX,TRUST,FINC,N,INHRT,INTRO,31DEC2024:21:07:56
CUS-0001069,20241231,Ngozi Okafor,20000619,NO,NO,IND,GAMB,N,SAL,DIGITAL,31DEC2024:21:08:03
CUS-0001070,20241231,James Richardson,19650326,AU,,FUND,GAMB,N,INVST,BRANCH,31DEC2024:21:08:10
CUS-0001071,20241231,Bruno Cavalcanti,19600719,CA,,FUND,DEAL,N,SAL,DIGITAL,31DEC2024:21:08:17
CUS-0001072,20241231,Konrad Nowak,19940303,FR,FR,CORP,RETL,N,OTHR,DIGITAL,31DEC2024:21:08:24
CUS-0001073,20241231,Elif Demir,19971127,FR,FR,TRUST,HLTH,N,SAL,DIGITAL,31DEC2024:21:08:31
CUS-0001074,20241231,Fredéric Lecomte,19931103,BY,BY,IND,RETL,N,SAL,BRANCH,31DEC2024:21:08:38
CUS-0001075,20241231,María José Rodríguez,19811121,PH,PH,CORP,CASI,N,INHRT,INTRO,31DEC2024:21:08:45
CUS-0001076,20241231,Casimir Kowalczyk,19731110,CH,CH,FUND,DEAL,N,SAL,DIGITAL,31DEC2024:21:08:52
CUS-0001077,20241231,Aisha Mohammed,19730102,BE,BE,IND,DEAL,N,INHRT,BRANCH,31DEC2024:21:08:59
CUS-0001078,20241231,Tunde Adebayo,19741018,SE,SE,IND,MGMT,N,INHRT,INTRO,31DEC2024:21:09:06
CUS-0001079,20241231,Sigrid Olsen,19750905,NO,NO,IND,CASI,N,INHRT,BRANCH,31DEC2024:21:09:13
CUS-0001080,20241231,Emeka Onwueme,19560108,CA,CA,PART,DEAL,N,OTHR,BRANCH,31DEC2024:21:09:20
CUS-0001081,20241231,Hannah Schmidt,19630714,CA,CA,TRUST,HLTH,N,INHRT,BRANCH,31DEC2024:21:09:27
CUS-0001082,20241231,Sean Gallagher,19510922,DK,DK,TRUST,EXEC,N,OTHR,DIGITAL,31DEC2024:21:09:34
CUS-0001083,20241231,Sarah Thompson,19870312,SE,SE,FUND,EDUC,N,SAL,DIGITAL,31DEC2024:21:09:41
CUS-0001084,20241231,Maximilian Schneider,19500518,DK,DK,FUND,GAMB,N,SAL,INTRO,31DEC2024:21:09:48
CUS-0001085,20241231,Hiroshi Nakamura ​’,19460610,CH,CH,IND,HLTH,N,SAL,DIGITAL,31DEC2024:21:09:55
CUS-0001086,20241231,Ekanem Effiong,19540210,VN,VN,IND,CASI,N,SAL,BRANCH,31DEC2024:21:10:02
CUS-0001087,20241231,Ole-Christian Hagen,19661005,FR,FR,TRUST,HLTH,N,OTHR,INTRO,31DEC2024:21:10:09
CUS-0001088,20241231,Andrei Popescu,19551215,GB,GB,IND,ENGG,N,OTHR,INTRO,31DEC2024:21:10:16
CUS-0001089,20241231,Maria Garcia,19920808,YE,YE,FUND,FINC,N,BUSPRT,INTRO,31DEC2024:21:10:23
CUS-0001090,20241231,Patrick Murphy,19740525,SE,SE,CORP,FINC,N,INVST,INTRO,31DEC2024:21:10:30
CUS-0001091,20241231,Julia Fischer,19610121,AT,AT,CORP,ENGG,N,SAL,INTRO,31DEC2024:21:10:37
CUS-0001092,20241231,François Leroy,19630225,CH,CH,TRUST,MGMT,N,OTHR,INTRO,31DEC2024:21:10:44
CUS-0001093,20241231,Layla Al-Farsi,19590812,TR,TR,TRUST,ENGG,N,BUSPRT,BRANCH,31DEC2024:21:10:51
CUS-0001094,20241231,Oscar Lindqvist,19500608,AU,AU,IND,GAMB,N,INHRT,DIGITAL,31DEC2024:21:10:58
CUS-0001095,20241231,Anya Sharma,19980823,IR,IR,FUND,DEAL,N,SAL,BRANCH,31DEC2024:21:11:05
CUS-0001096,20241231,Mikael Lindqvist,19460507,NO,NO,CORP,CASI,N,INHRT,BRANCH,31DEC2024:21:11:12
CUS-0001097,20241231,Bogumił Kowalski,19630410,AT,AT,FUND,EDUC,N,INHRT,DIGITAL,31DEC2024:21:11:19
CUS-0001098,20241231,Jean-Marc Perrin,19761018,VN,VN,CORP,EDUC,N,BUSPRT,BRANCH,31DEC2024:21:11:26
CUS-0001099,20241231,Catalina Ionescu,19451012,MM,MM,TRUST,FINC,N,OTHR,BRANCH,31DEC2024:21:11:33
CUS-0001100,20241231,Ravi Krishnamurthy,19780917,AU,AU,IND,MGMT,N,INHRT,DIGITAL,31DEC2024:21:11:40
CUS-0001101,20241231,Akosua Boateng,19690609,AT,AT,TRUST,EXEC,N,BUSPRT,DIGITAL,31DEC2024:21:11:47
CUS-0001102,20241231,Sven Eriksson,19920605,CH,CH,IND,DEAL,N,SAL,BRANCH,31DEC2024:21:11:54
CUS-0001103,20241231,Nkechi Eze,19751106,MM,MM,IND,ENGG,N,OTHR,DIGITAL,31DEC2024:21:12:01
CUS-0001104,20241231,Petra Novotná,19950402,FR,FR,FUND,CASI,N,SAL,DIGITAL,31DEC2024:21:12:08
CUS-0001105,20241231,Ifeoma Eze,19931107,SE,SE,TRUST,GAMB,N,INHRT,DIGITAL,31DEC2024:21:12:15
CUS-0001106,20241231,Rodrigo Almeida,19720724,DE,DE,FUND,DEAL,N,INVST,BRANCH,31DEC2024:21:12:22
CUS-0001107,20241231,Linnea Gustafsson,19960909,AU,AU,IND,ENGG,N,BUSPRT,DIGITAL,31DEC2024:21:12:29
CUS-0001108,20241231,Fatimata Coulibaly,19560910,NO,NO,CORP,MGMT,N,BUSPRT,INTRO,31DEC2024:21:12:36
CUS-0001109,20241231,Mikko Nieminen,19720323,FR,FR,IND,RETL,N,INVST,DIGITAL,31DEC2024:21:12:43
CUS-0001110,20241231,Elena Ivanova,19950103,CA,CA,IND,DEAL,N,INHRT,DIGITAL,31DEC2024:21:12:50
CUS-0001111,20241231,Akinola Bamidele,19541022,AU,AU,IND,HLTH,N,OTHR,BRANCH,31DEC2024:21:12:57
CUS-0001112,20241231,Ingrid Hansen,19810120,DE,DE,IND,MGMT,N,SAL,DIGITAL,31DEC2024:21:13:04
CUS-0001113,20241231,Ahmed Hassan,19780613,TR,TR,IND,DEAL,N,BUSPRT,BRANCH,31DEC2024:21:13:11
CUS-0001114,20241231,Mei-Ling Chen,19690904,SE,SE,IND,MGMT,N,SAL,BRANCH,31DEC2024:21:13:18
CUS-0001115,20241231,David Cohen,19760404,SE,SE,FUND,CASI,N,SAL,INTRO,31DEC2024:21:13:25
CUS-0001116,20241231,Festus Okafor,19961128,BY,BY,CORP,ENGG,N,OTHR,DIGITAL,31DEC2024:21:13:32
CUS-0001117,20241231,Astrid Andersen,19640323,DK,DK,IND,MGMT,N,INHRT,INTRO,31DEC2024:21:13:39
CUS-0001118,20241231,Youssef Benali,19570308,NO,NO,FUND,ENGG,N,INVST,INTRO,31DEC2024:21:13:46
CUS-0001119,20241231,Klaus Bergmann,19800320,DE,DE,IND,HLTH,N,INHRT,DIGITAL,31DEC2024:21:13:53
CUS-0001120,20241231,Wilhelm Koch,19940727,FR,FR,IND,GAMB,N,OTHR,DIGITAL,31DEC2024:21:14:00
CUS-0001121,20241231,Søren Madsen,19670327,GB,GB,IND,MGMT,N,BUSPRT,DIGITAL,31DEC2024:21:14:07
CUS-0001122,20241231,Giulia Lombardi,20000127,DK,DK,TRUST,ENGG,N,SAL,DIGITAL,31DEC2024:21:14:14
CUS-0001123,20241231,Adaeze Nwosu,19590617,CN,CN,IND,ENGG,N,SAL,DIGITAL,31DEC2024:21:14:21
CUS-0001124,20241231,Marie Gustavsson,19850520,FR,FR,IND,FINC,N,OTHR,INTRO,31DEC2024:21:14:28
CUS-0001125,20241231,Agnieszka Woźniak,19871024,AT,AT,FUND,ENGG,N,INHRT,INTRO,31DEC2024:21:14:35
CUS-0001126,20241231,Bjorn Magnusson,19861009,CH,CH,TRUST,EXEC,N,SAL,BRANCH,31DEC2024:21:14:42
CUS-0001127,20241231,Ruth Eichmann,19850910,BE,BE,CORP,EDUC,N,OTHR,BRANCH,31DEC2024:21:14:49
CUS-0001128,20241231,Babatunde Okonkwo,19491202,SE,SE,CORP,FINC,N,OTHR,DIGITAL,31DEC2024:21:14:56
CUS-0001129,20241231,Aminata Traoré,19651211,MX,MX,CORP,CASI,N,SAL,DIGITAL,31DEC2024:21:15:03
CUS-0001130,20241231,Kwame Mensah,19650415,CH,CH,CORP,ENGG,N,INVST,INTRO,31DEC2024:21:15:10
CUS-0001131,20241231,Valentina Rossi,19691014,TR,TR,IND,ENGG,N,SAL,BRANCH,31DEC2024:21:15:17
CUS-0001132,20241231,Charlotte Webb,19550817,GB,GB,IND,EDUC,N,OTHR,DIGITAL,31DEC2024:21:15:24
CUS-0001133,20241231,Amelia Patel,19600419,SE,SE,CORP,EXEC,N,SAL,DIGITAL,31DEC2024:21:15:31
CUS-0001134,20241231,Ada Osei-Bonsu,19450214,DE,DE,IND,CASI,N,INHRT,DIGITAL,31DEC2024:21:15:38
CUS-0001135,20241231,Alba Ortega,19481018,TH,TH,FUND,DEAL,N,BUSPRT,DIGITAL,31DEC2024:21:15:45
CUS-0001136,20241231,Benedikt Schwarz,19800527,ZA,ZA,IND,MGMT,N,BUSPRT,INTRO,31DEC2024:21:15:52
CUS-0001137,20241231,Marco Russo,19950618,DK,DK,TRUST,MGMT,N,SAL,BRANCH,31DEC2024:21:15:59
CUS-0001138,20241231,Saoirse Murphy,19470105,GB,GB,IND,EDUC,N,INHRT,DIGITAL,31DEC2024:21:16:06
CUS-0001139,20241231,Miriam Khoury,19530620,CA,CA,TRUST,CASI,N,SAL,INTRO,31DEC2024:21:16:13
CUS-0001140,20241231,Theodoros Alexiou,19770916,AU,AU,TRUST,RETL,N,INHRT,DIGITAL,31DEC2024:21:16:20
CUS-0001141,20241231,Diana Popova,19711010,SE,SE,CORP,EXEC,N,INVST,DIGITAL,31DEC2024:21:16:27
CUS-0001142,20241231,Damian Kozlowski,19861019,NO,NO,FUND,EXEC,N,INHRT,DIGITAL,31DEC2024:21:16:34
CUS-0001143,20241231,Abdul Rahman Al-Qasim,19840705,DE,DE,TRUST,CASI,N,SAL,INTRO,31DEC2024:21:16:41
CUS-0001144,20241231,Carlos Mendez,19730614,NL,NL,IND,EDUC,N,OTHR,BRANCH,31DEC2024:21:16:48
CUS-0001145,20241231,Ximena Vargas,19921202,VN,VN,CORP,HLTH,N,INHRT,DIGITAL,31DEC2024:21:16:55
CUS-0001146,20241231,Tobi Femi,19650315,AT,AT,IND,HLTH,N,INVST,DIGITAL,31DEC2024:21:17:02
CUS-0001147,20241231,Pedro Ferreira,19570409,CH,CH,TRUST,DEAL,N,OTHR,DIGITAL,31DEC2024:21:17:09
CUS-0001148,20241231,Imane Berrada,19760616,NL,NL,IND,RETL,N,OTHR,BRANCH,31DEC2024:21:17:16
CUS-0001149,20241231,Chinyere Nwachukwu,19690727,NO,NO,IND,RETL,N,SAL,INTRO,31DEC2024:21:17:23
CUS-0001150,20241231,Nikolaj Christensen,19731109,GB,GB,IND,EXEC,N,INVST,BRANCH,31DEC2024:21:17:30
CUS-0001151,20241231,Claire Fontaine,19530220,NL,NL,IND,HLTH,N,INVST,INTRO,31DEC2024:21:17:37
CUS-0001152,20241231,Zanele Dlamini,19590104,NL,NL,IND,EXEC,N,OTHR,INTRO,31DEC2024:21:17:44
CUS-0001153,20241231,Silvia Torres,19800314,NO,NO,CORP,MGMT,Y,OTHR,BRANCH,31DEC2024:21:17:51
CUS-0001154,20241231,Dominique Bernard,19480221,CA,CA,CORP,FINC,N,INVST,DIGITAL,31DEC2024:21:17:58
CUS-0001155,20241231,Renata Szabó,19560127,AT,AT,FUND,EXEC,N,SAL,DIGITAL,31DEC2024:21:18:05
CUS-0001156,20241231,Ingeborg Svensson,19830211,CA,CA,IND,RETL,N,SAL,BRANCH,31DEC2024:21:18:12
CUS-0001157,20241231,Chidinma Okonkwo,19740507,DK,DK,TRUST,HLTH,N,BUSPRT,BRANCH,31DEC2024:21:18:19
CUS-0001158,20241231,Simone Pellegrini,19451211,CH,CH,IND,CASI,N,OTHR,DIGITAL,31DEC2024:21:18:26
CUS-0001159,20241231,Florian Braun,19700717,BE,BE,FUND,FINC,N,SAL,INTRO,31DEC2024:21:18:33
CUS-0001160,20241231,Sofía Herrera,19600109,AU,AU,FUND,MGMT,N,SAL,BRANCH,31DEC2024:21:18:40
CUS-0001161,20241231,Amara Diop,19450521,CA,CA,IND,DEAL,N,INVST,INTRO,31DEC2024:21:18:47
CUS-0001162,20241231,Hanne Nielsen,19880923,NL,NL,IND,MGMT,N,BUSPRT,DIGITAL,31DEC2024:21:18:54
CUS-0001163,20241231,Rosa Ferreira,19530805,NO,NO,IND,RETL,N,INVST,INTRO,31DEC2024:21:19:01
CUS-0001164,20241231,Tuulikki Virtanen,19930926,BE,BE,IND,GAMB,N,OTHR,INTRO,31DEC2024:21:19:08
CUS-0001165,20241231,Lena Fischer,19900603,NL,NL,IND,EDUC,N,SAL,INTRO,31DEC2024:21:19:15
CUS-0001166,20241231,Emre Yıldız,19540311,FR,FR,IND,HLTH,N,INHRT,BRANCH,31DEC2024:21:19:22
CUS-0001167,20241231,Oyin Akerele,19770826,CA,CA,IND,FINC,N,OTHR,INTRO,31DEC2024:21:19:29
CUS-0001168,20241231,Chiamaka Obi,19741126,CN,CN,TRUST,GAMB,N,BUSPRT,INTRO,31DEC2024:21:19:36
CUS-0001169,20241231,Björn Lindberg,19470712,DE,DE,CORP,RETL,N,SAL,BRANCH,31DEC2024:21:19:43
CUS-0001170,20241231,Anna Kowalski,19560325,AT,AT,IND,MGMT,N,BUSPRT,BRANCH,31DEC2024:21:19:50
CUS-0001171,20241231,Fiona MacLeod,19690703,NO,NO,FUND,GAMB,N,INVST,DIGITAL,31DEC2024:21:19:57
CUS-0001172,20241231,Stefan Weber,19790717,DK,DK,TRUST,ENGG,N,OTHR,DIGITAL,31DEC2024:21:20:04
CUS-0001173,20241231,Uchenna Nwosu,19790718,VN,VN,IND,EXEC,N,INVST,DIGITAL,31DEC2024:21:20:11
CUS-0001174,20241231,Vigdis Larssen,19910202,NL,NL,IND,CASI,N,INVST,BRANCH,31DEC2024:21:20:18
CUS-0001175,20241231,Vera Sorokin,19830115,AU,AU,TRUST,EXEC,N,SAL,BRANCH,31DEC2024:21:20:25
CUS-0001176,20241231,Matthias Zimmermann,19590907,NO,NO,IND,FINC,N,OTHR,BRANCH,31DEC2024:21:20:32
CUS-0001177,20241231,Seun Adesanya,19911011,DE,DE,IND,HLTH,N,INVST,BRANCH,31DEC2024:21:20:39
CUS-0001178,20241231,Olusegun Babalola,19780414,DK,DK,IND,FINC,N,INVST,BRANCH,31DEC2024:21:20:46
CUS-0001179,20241231,Antoine Dubois,19720916,DE,DE,TRUST,EDUC,N,OTHR,BRANCH,31DEC2024:21:20:53
CUS-0001180,20241231,Riku Mäkinen,19710310,YE,YE,FUND,GAMB,N,INHRT,DIGITAL,31DEC2024:21:21:00
CUS-0001181,20241231,Kenji Watanabe,19540802,AT,AT,CORP,FINC,N,SAL,DIGITAL,31DEC2024:21:21:07
CUS-0001182,20241231,Nadia Hoffmann,19580621,AU,AU,TRUST,HLTH,N,SAL,DIGITAL,31DEC2024:21:21:14
CUS-0001183,20241231,Monique Laurent,19691120,TR,TR,IND,MGMT,N,INHRT,BRANCH,31DEC2024:21:21:21
CUS-0001184,20241231,Emma Johansson,19580610,FR,FR,IND,EDUC,N,OTHR,INTRO,31DEC2024:21:21:28
CUS-0001185,20241231,Paula Herrera,19930808,DE,DE,IND,FINC,N,OTHR,BRANCH,31DEC2024:21:21:35
CUS-0001186,20241231,Konstantinos Papadopoulos,19630715,NO,NO,IND,GAMB,N,SAL,INTRO,31DEC2024:21:21:42
CUS-0001187,20241231,Katarzyna Wiśniewska,19740226,CH,CH,IND,RETL,N,INVST,INTRO,31DEC2024:21:21:49
CUS-0001188,20241231,Blessing Osei,19810424,CA,CA,IND,FINC,N,INVST,DIGITAL,31DEC2024:21:21:56
CUS-0001189,20241231,Henrique Sousa,19570608,TH,TH,TRUST,EDUC,N,INHRT,DIGITAL,31DEC2024:21:22:03
CUS-0001190,20241231,Abigail Kessler,19970824,NL,NL,CORP,HLTH,N,OTHR,DIGITAL,31DEC2024:21:22:10
CUS-0001191,20241231,Lars Andersen,19910916,CA,CA,CORP,ENGG,N,OTHR,DIGITAL,31DEC2024:21:22:17
CUS-0001192,20241231,Ester Johansson,19491102,ZA,ZA,FUND,EXEC,N,INHRT,BRANCH,31DEC2024:21:22:24
CUS-0001193,20241231,Michael Zhang,19770812,AU,AU,IND,FINC,Y,SAL,BRANCH,31DEC2024:21:22:31
CUS-0001194,20241231,Wojciech Zielinski,19790914,PH,PH,FUND,EDUC,Y,BUSPRT,DIGITAL,31DEC2024:21:22:38
CUS-0001195,20241231,Patricia O'Connor,19971222,MM,MM,FUND,RETL,Y,INHRT,DIGITAL,31DEC2024:21:22:45
CUS-0001196,20241231,Henrik Bergström,19840909,GB,GB,IND,MGMT,N,INHRT,BRANCH,31DEC2024:21:22:52
CUS-0001197,20241231,Robert Wilson,19601208,SE,SE,CORP,MGMT,N,INVST,DIGITAL,31DEC2024:21:22:59
CUS-0001198,20241231,Petros Georgiou,19800802,FR,FR,FUND,EXEC,N,SAL,DIGITAL,31DEC2024:21:23:06
CUS-0001199,20241231,Tom O'Brien,19661028,NO,NO,IND,MGMT,N,BUSPRT,DIGITAL,31DEC2024:21:23:13
CUS-0001200,20241231,Chiara Bianchi,19470222,AT,AT,IND,FINC,N,SAL,INTRO,31DEC2024:21:23:20
CUS-0001201,20241231,Brigitte Hoffmann,19581005,AT,AT,TRUST,EXEC,Y,SAL,DIGITAL,31DEC2024:21:23:27
CUS-0001202,20241231,Min-Jun Lee,19810722,NO,NO,CORP,MGMT,N,INVST,BRANCH,31DEC2024:21:23:34
CUS-0001203,20241231,Peter Novak,19670104,CH,CH,CORP,ENGG,N,OTHR,BRANCH,31DEC2024:21:23:41
CUS-0001204,20241231,Fatou Diallo,19940601,FR,FR,IND,EDUC,N,INHRT,INTRO,31DEC2024:21:23:48
CUS-0001205,20241231,Esther Owusu,19720322,CA,CA,CORP,FINC,N,INVST,INTRO,31DEC2024:21:23:55
CUS-0001206,20241231,Stavros Karagiannidis,19500505,AU,AU,IND,EDUC,N,INVST,BRANCH,31DEC2024:21:24:02
CUS-0001207,20241231,Haruto Yamamoto,19450515,DK,DK,IND,GAMB,N,INVST,DIGITAL,31DEC2024:21:24:09
CUS-0001208,20241231,Thomas Carey,19800917,SE,SE,IND,ENGG,N,SAL,BRANCH,31DEC2024:21:24:16
CUS-0001209,20241231,Kofi Asante,19950628,DE,DE,IND,DEAL,N,INHRT,BRANCH,31DEC2024:21:24:23
